id,hedef,sira,enlem,boylam
1,AAE,0,41.275278,28.751944
2,AAE,1,41.192905,28.038972
3,AAE,2,41.106147,27.327839
4,AAE,3,41.015027,26.618630
5,AAE,4,40.919573,25.911427
6,AAE,5,40.819812,25.206309
7,AAE,6,40.715771,24.503354
8,AAE,7,40.607479,23.802638
9,AAE,8,40.494966,23.104233
10,AAE,9,40.378264,22.408210
11,AAE,10,40.257404,21.714636
12,AAE,11,40.132418,21.023578
13,AAE,12,40.003340,20.335098
14,AAE,13,39.870203,19.649258
15,AAE,14,39.733043,18.966114
16,AAE,15,39.591896,18.285723
17,AAE,16,39.446796,17.608138
18,AAE,17,39.297782,16.933408
19,AAE,18,39.144890,16.261582
20,AAE,19,38.988158,15.592704
21,AAE,20,38.827624,14.926817
22,AAE,21,38.663327,14.263962
23,AAE,22,38.495307,13.604176
24,AAE,23,38.323603,12.947493
25,AAE,24,38.148255,12.293947
26,AAE,25,37.969303,11.643568
27,AAE,26,37.786787,10.996383
28,AAE,27,37.600750,10.352417
29,AAE,28,37.411231,9.711694
30,AAE,29,37.218273,9.074234
31,AAE,30,37.021915,8.440055
32,AAE,31,36.822201,7.809174
33,AAL,0,41.275278,28.751944
34,AAL,1,41.824966,28.306490
35,AAL,2,42.372902,27.853333
36,AAL,3,42.919023,27.392213
37,AAL,4,43.463260,26.922860
38,AAL,5,44.005543,26.444995
39,AAL,6,44.545797,25.958329
40,AAL,7,45.083947,25.462563
41,AAL,8,45.619910,24.957387
42,AAL,9,46.153604,24.442480
43,AAL,10,46.684941,23.917511
44,AAL,11,47.213830,23.382137
45,AAL,12,47.740174,22.836002
46,AAL,13,48.263875,22.278740
47,AAL,14,48.784828,21.709971
48,AAL,15,49.302924,21.129303
49,AAL,16,49.818049,20.536331
50,AAL,17,50.330083,19.930635
51,AAL,18,50.838903,19.311786
52,AAL,19,51.344378,18.679338
53,AAL,20,51.846372,18.032832
54,AAL,21,52.344742,17.371796
55,AAL,22,52.839340,16.695746
56,AAL,23,53.330010,16.004181
57,AAL,24,53.816588,15.296591
58,AAL,25,54.298905,14.572451
59,AAL,26,54.776782,13.831224
60,AAL,27,55.250033,13.072361
61,AAL,28,55.718464,12.295305
62,AAL,29,56.181872,11.499486
63,AAL,30,56.640044,10.684326
64,AAL,31,57.092759,9.849243
65,ACC,0,41.275278,28.751944
66,ACC,1,40.243768,27.463612
67,ACC,2,39.198403,26.214210
68,ACC,3,38.140087,25.001669
69,ACC,4,37.069665,23.823995
70,ACC,5,35.987926,22.679273
71,ACC,6,34.895608,21.565669
72,ACC,7,33.793402,20.481425
73,ACC,8,32.681953,19.424861
74,ACC,9,31.561868,18.394372
75,ACC,10,30.433713,17.388429
76,ACC,11,29.298022,16.405571
77,ACC,12,28.155295,15.444403
78,ACC,13,27.006002,14.503597
79,ACC,14,25.850585,13.581885
80,ACC,15,24.689463,12.678055
81,ACC,16,23.523030,11.790950
82,ACC,17,22.351660,10.919463
83,ACC,18,21.175705,10.062536
84,ACC,19,19.995501,9.219154
85,ACC,20,18.811367,8.388343
86,ACC,21,17.623608,7.569167
87,ACC,22,16.432514,6.760726
88,ACC,23,15.238363,5.962151
89,ACC,24,14.041420,5.172605
90,ACC,25,12.841944,4.391276
91,ACC,26,11.640181,3.617377
92,ACC,27,10.436369,2.850143
93,ACC,28,9.230742,2.088830
94,ACC,29,8.023524,1.332710
95,ACC,30,6.814935,0.581071
